timestamp,longitude,latitude,accuracy,speed
1513073083999,34.7744319468522,32.0958750991271,3,2.1493554
1513073084999,34.7744319468522,32.0958750991271,3,0
1513073085999,34.7744319468522,32.0958750991271,3,0
1513073086999,34.7744319468522,32.0958750991271,2,0
1513073087999,34.7744319468522,32.0958750991271,2,0.17300002
1513073088999,34.7744294263014,32.0958654810863,2,0.65402645
1513073089999,34.7744240328213,32.0958464470127,2,1.9855865
1513073090999,34.7744153708212,32.0958119922945,4,4.019633
1513073091999,34.7744024183749,32.095756925089,4,5.628003
1513073092999,34.7743840794176,32.0956896826033,3,6.5949078
1513073093999,34.7743655726188,32.095617620975,3,7.283019
1513073094999,34.7743456978904,32.0955430006363,3,7.9643893
1513073095999,34.7743225500956,32.0954615037739,3,8.629992
1513073096999,34.7742969871539,32.0953752816768,3,9.320877
1513073097999,34.7742681455912,32.0952809145484,3,10.045255
1513073098999,34.7742372024792,32.0951820582929,3,10.786681
1513073099999,34.774204985227,32.0950782720693,3,11.398223
1513073100999,34.7741637525458,32.0949734012366,3,11.783425
1513073101999,34.7741221570001,32.0948668131284,3,12.157585
1513073102999,34.7740798300095,32.0947564968681,3,12.621447
1513073103999,34.774037341881,32.0946414559227,3,13.130854
1513073104999,34.7739952256377,32.094524192274,4,13.384342
1513073105999,34.7739529040263,32.0944087768439,4,13.312815
1513073106999,34.7739022713658,32.0942985038421,6,13.085987
1513073107999,34.7738525345449,32.0941920513216,6,12.783663
1513073108999,34.7738111176497,32.0940874683327,6,12.406757
1513073109999,34.773768647652,32.0939916120848,6,11.630326
1513073110999,34.773734745036,32.093905747805,4,10.535702
1513073111999,34.7737011068194,32.093832330306,4,9.469288
1513073112999,34.7736673502501,32.0937682001215,4,8.466395
1513073113999,34.773645639211,32.0937128108908,6,7.197516
1513073114999,34.7736292610767,32.093668570155,6,5.3443494
1513073115999,34.773621768023,32.0936468993078,6,3.4947917
1513073116999,34.773621768023,32.0936468993078,6,0
1513073117999,34.773621768023,32.0936468993078,4,0
1513073118999,34.773621768023,32.0936468993078,4,0
1513073119999,34.773621768023,32.0936468993078,4,0
1513073120999,34.773621768023,32.0936468993078,6,0
1513073121999,34.773621768023,32.0936468993078,6,0
1513073122999,34.773621768023,32.0936468993078,4,0
1513073123999,34.773621768023,32.0936468993078,6,0
1513073124999,34.773621768023,32.0936468993078,6,0
1513073125999,34.773621768023,32.0936468993078,6,0
1513073126999,34.773621768023,32.0936468993078,6,0
1513073127999,34.773621768023,32.0936468993078,8,0
1513073128999,34.773621768023,32.0936468993078,8,0
1513073129999,34.773621768023,32.0936468993078,8,0
1513073130999,34.773621768023,32.0936468993078,8,0
1513073131999,34.773621768023,32.0936468993078,4,0
1513073132999,34.773621768023,32.0936468993078,4,0
1513073133999,34.773621768023,32.0936468993078,4,0
1513073134999,34.773621768023,32.0936468993078,4,0
1513073135999,34.773621768023,32.0936468993078,6,0
1513073136999,34.773621768023,32.0936468993078,4,0
1513073137999,34.773621768023,32.0936468993078,4,0
1513073138999,34.773621768023,32.0936468993078,4,0
1513073139999,34.773621768023,32.0936468993078,6,0
1513073140999,34.773621768023,32.0936468993078,6,0
1513073141999,34.773621768023,32.0936468993078,6,0
1513073142999,34.773621768023,32.0936468993078,6,0
1513073143999,34.773621768023,32.0936468993078,6,0
1513073144999,34.773621768023,32.0936468993078,6,0
1513073145999,34.773621768023,32.0936468993078,6,0
1513073146999,34.773621768023,32.0936468993078,6,0
1513073147999,34.773621768023,32.0936468993078,6,0
1513073148999,34.773621768023,32.0936468993078,6,0
1513073149999,34.773621768023,32.0936468993078,6,0
